,name,participants,mentors,description,cohort,keywords,status,collaboration
190,"Comparison of three growth curves for the diagnosis of extrauterine growth retardation at 40 weeks postconceptional age and associated factors in preterm infants in the city of Yaoundé, Cameroon",Sandrine Kengne,Elisee Jafsia,"Extra-uterin growth retardation (EUGR) is defined as weight or height below the 10th percentile relative to the mean for the child's age and sex at 40 weeks post-conceptional  age. The objective of this work is to analyze the applicability of growth curves (Intergrowth -21, Fenton and WHO) for the assessment of extra-uterin growth at 40 weeks post-conceptional age and the factors associated with extra-uterin growth retardation in preterm infant in Cameroon. This will be an analytical study of all low birth weight preterm mother-infant pairs present in referral hospitals in the city of Yaoundé whose mothers have given their consent to participate in the study between June 2022 and March 2023. For the diagnosis of EUGR and its associated factors, we will first take the anthropometric parameters of the children at birth at 36 and at 40 PCA as well as information on the parents or their environment. At the end of this analysis, we will be able to choose the appropriate curve for the evaluation of the extra-uterin growth of preterm infants with low birth weight in Yaoundé and to determine the factors associated with the EUGR.",7,"Preterm Infants, Growth Curves, Evaluation, Extra-Uterin Growth Failure, Associated Factors",,
191,Euro-BioImaging Scientific Ambassadors Program,Beatriz Serrano-Solano,Joyce Kao,"Euro-BioImaging (https://www.eurobioimaging.eu/) is a research infrastructure that offers open access to imaging technologies, training, and data services in biological and biomedical imaging. Euro-BioImaging consists of imaging facilities, called ‘Nodes’, that have opened their doors to all life science researchers. There are informal community leads within the nodes’ staff and users that often raise awareness about Euro-BioImaging and the provided services. However, there is no official program at the moment that acknowledges them as formal ambassadors.  This project aims at launching a Scientific Ambassadors Program for Euro-BioImaging, which will officially reward such contributions and encourage new leads to emerge in the community.",7,"Imaging, Microscopy, Community, Ambassadors, Champions, Community Building",,
192,"momenTUM Research Platform: An open-source, reproducible research infrastructure for digital health","Manuel Spitschan, Anna Magdalena Biller, Marco Ma",Rowland Mosbergen,"Over the past year, we built the new research platform **[momenTUM](https://www.momentumresearch.eu/)**, which consists of an iOS/Android app for delivering interventions and questionnaires to participants in research studies and server software to configure trials, accept data and register them into a REDCap server. Based on the previously developed [schema-app](https://github.com/schema-app/schema), the app uses reproducible JSON files to specify the timing, order and properties of interventions and questionnaires sent to the end-user device. We are beginning to use momenTUM in our research studies examining human sleep and circadian physiology and believe it will be valuable to the scientific community. Currently, while there are various commercial and sometimes pricy solutions to design smartphone-based interventions, we believe that developing an open-source solution is the right thing to do. Our diverse team – consisting of two software developers and two researchers – shares this ethos. Through our participation in OLS-7, we will advance our project, grow our network and learn how to build a community around the project.",7,"Digital Health, Open Source, Smartphone App, Reproducibility, Experience Sampling, Field Studies, Psychology",,
193,Investigating effective strategies for radical inclusion at academic events,"Siobhan Mackenzie Hall, Daniel Kochin, Carmel Carne",Malvika Sharan,"We are a group of researchers from the University of Oxford looking to establish a discussion about pushing the boundaries of what it means to host an inclusive academic event. This discussion cannot happen in a vacuum and we are mindful of our limited experience and expertise in this space. As such, we intend to take a proactive stance and give voice to thoughts, opinions and lived experiences of conference organisers and attendees with inclusivity concerns.  We intend to work towards a publication which is a compilation of our investigation into multiple mediums for collecting viewpoints, debate and strategic implementations. As a first step in achieving this aim and an effective pilot of the discussion points, we have recently hosted our first round of focus groups where we addressed the following topics: * Who are we not seeing at conferences, and what would it actually take to get them there? * Implementation of considerations for constantly changing and sensitive geopolitical issues? * Support for visas and other regulatory considerations  * Enforcement of harassment policies and embedding of harassment prevention methods at the earliest planning stages  Through this endeavour, we connected with interesting and passionate people. We set up a mailing list where we share regular updates on the ongoing work, and excitingly, we have a list of people potentially interested in collaborating on this project. We hope to draw on their perspectives and experiences in developing a publication and any other potential outputs that will help incite real, tangible change in the space of academic events.",7,"Inclusion, Awareness, Access, Intersectionality, Equal Opportunity",,
194,Queering the law: How to make AI with a Queer Perspective from the Majority of the World,Umut Pajaro Velasquez,Milagros Miceli,"For an AI framework with a queer perspective from the Majority World that is going to be used by technologists, final users, policymakers, sociologists, activists, and everyone involved with Artificial Intelligence, we must consider using a common language in all stages of the foundation of any AI: design, development, deployment, and detection of biases. Furthermore, this common language should go around the concepts of fairness, accountability, transparency, and ethics because of actions those could bring in setting the AI foundation and making them less harmful for queer people from the Majority World.   This is going to demand that all of us involved in this process think outside the box and bring queer, Majority World theories, methods, and methodologies, also the use of MLP, NLP, neurosciences, and trans theories from the majority world, body theories, cultural studies as a methodology, interviews, focus groups, participatory design, documentary, or case analysis, field research, law-making, regulatory processes, and others, altogether creating this framework.   It is understandable, needs to include the language that can transform this specific harmful stereotype into regulations, formal definitions, and actions that can benefit not only queer people but all of us.",7,"Gender, Queer, Theory, Majority World, Frameword, Ai",,
195,Data management materials for ELIXIR Estonia,Diana Pilvar,Patricia Herterich,"Online data management materials for researchers should include the following: * Introduction on FAIR principles * Walkthrough of data life cycle      * Expanding different life cycle stages with relevant info        * Plan - Requirements for data management in Estonia and Europe        * Process, Analyse – links to local HPC capabilities        * Preserve, Share – links to local and generic repositories        * Reuse – Information on how to write good metadata, READMEs, licensing * Open Science * DMP   * Current requirements   * Programs available for writing DMPs   * Tips for writing a good DMP",7,"Data Management, Data Life Cycle, Dmp, Fair, Open Science",,
196,Build community,Doaa Abdelkader,Michael Landi,"Open science community in Egypt  I intend to build up Open science community in Egypt to raise awareness among researchers of the importance of Open Science  and how we will guide them to make their research more organized and manageable, increase their visibility, and meet the FAIR principles ( Findable, Accessible, Interoperable, Reusable). also it will be in the line with Egypt Vision 2030. we will have support from FAIR points to meet the researcher's needs by providing workshops, webinars, and conferences to guide them to the right path further Open Science (OS) is an umbrella term that is used to describe movements and practices aimed at increasing the accessibility of scientific knowledge and fostering innovations. To demystify these principles, we briefly describe six of its core components.",7,"Open Science, Research Data Amangement, Research Service",,
197,The Impact of Sleep Deprivation on Mental Health,"Deborah Udoh, Bisola Ahmed",Aswathi Surendran,"Millennials and Gen Zs recently have become obsessed with being online and informed 24/7 so much that it has encroached on sleep time. We tend to attach more importance to skin care, beauty products, exercise and many others ways to live healthy but fail to acknowledge the importance of a good night rest. The need for sleep tends to be underestimated.  With the evidence garnered from cumulative research works, one can boldly assert that sleep deprivation has a profound effect on one’s health. This project pays particular attention to the negative impacts of lack of sleep on mental health.  Thus, the work will include various sleep disorders, and other causes of sleep loss. It will touch on the normal sleep cycle and factors that distort this cycle. The aim is to provide adequate evidence to enable people make an informed decision about getting better sleep.",7,"Sleep Deprivation, Mental Health, Illness",,
198,liforient,Agien Petra Ukeh,Caleb Kibet,"This project is to help every user, be it parents, children or other adults wishing to follow a particular career path find the right pattern towards achieving their life goals. The platform uses the top-down or bottom-up approach to achieve this goal. Using the top-down approach, a user can be interested in a particular field, say Artificial intelligence. The user then keys in the word artificial intelligence and the system gives a detailed guide of all that is required of the field such as academic qualifications needed/natural skills needed too. The program also includes various study programs, schools, scholarships etc, differentiating if it is remote, onsite and hybrid taking note of the locations of the available programs. Each program will also have fees allocation and other details provided by the dataset fed into the system. Statistics such as average salary, working hours etc will also be provided, and related fields as well, which if a user clicks, it will redirect to the clicked field.  The bottom up approach uses qualifications be it academic or natural to direct an individual towards available careers for that qualification. Say a student just had the Advanced level passing Biology, chemistry, computer science and maths. The system will also prompt the student to give in natural qualifications such as great organizational skills, working alone or in team, interpersonal skills etc, from which a roadmap to the various available careers based on those qualifications will be given as a guide for the student to follow. Other information such as scholarship opportuinities, internships, schools, programmes etc will be given in the system as well.   This system is to take data from contributors all over the world, and updates will be made every now and then to ensure arcuracy of the data.",7,"Artificial Intelligence, Machine Learning, Data Set, Skills, Degrees, Career Path, Internships, Scholarships, Programmes, Schools, Qualifications, Requirements.",,
199,Building a searchable project database,Angelica Maineri,Lena Karvovskaya,"Funders, consortia and RIs dealing with a large array of different smaller projects often find it difficult to clearly communicate to the outside what kind of projects they support. While there are efforts to build repositories that focus on data, software or research outputs as primary units, there is less attention to projects as focal points that lead to further outcomes (e.g. data, software, journal articles).  I want to build an open, searchable database which connects project descriptions to project members, keywords, and related outcomes. As a use case, I want to build a searchable database of past OLS projects.",7,Project Database,,
200,Closer to the sky: co-creating astronomical knowledge in a favela of Rio de Janeiro,"Claudia Mignone, Arianna Cortesi, Gabriela Rufino, Maria Clara Heringer Lourenço",Gracielle Higino,"“Closer to the sky” is an astronomy public engagement project in Rio de Janeiro, Brazil that builds upon workshops for children based on the practice of non-violence developed by the astronomy club, initiated by A. Cortesi and C. Araujo. It entails two parts: 1) The collective exploration of astronomical images and space-based images of Earth (available from open access databases) with children, artists and people in a favela (slum) in Rio. Children will use space imagery to create poems, music, performances and street art together with local artists, to promote a positive and healthy vision of their environment. By exploring images with computers at the local cultural centre, they will practice digital skills while handling data containing information to observe the environment.  2) The creation of a digital map of cultural projects in Rio favelas, including the new artwork and educational material, along with locations linked to the history and practice of astronomy in the city.   The project is informed by different aspects of the Open Science framework, from opening a dialogue with the community to creating science and educational material together. The interactive map, all content, lessons learnt and documentation on how to run similar initiatives will be released as open source projects.",7,"Astronomy, Space Science, Public Engagement Of Science, Community Building, Science-Art",,
201,"Mapping open-science communities, organizations, and events in Latin America","Jesica Formoso, Irene Vazano, Patricia Loto",Alexander Martinez Mendez,"This project aims to identify communities that actively participate in the **implementation, training, and dissemination of open practices** such as open access, open data, open science, and open educational resources in the **Latin American region**. We will create a **repository** that will collect **information regarding main areas, topics of expertise, and geographical location, as well as the contact information** of the identified organizations and communities. Then, we will create a **website or web-based application** that will feature a **searchable list and an interactive map interface**. Organizations interested in being added to the knowledge base will be able to do so through a pull request on GitHub. The project foresees an automatic update of the list and the map every time a pull request is approved after the new information is curated.",7,"Open Access, Open Source, Open Science Communities, Spanish-Speaking Communities, Mapping, Visualization",,
202,Developing an online snake venomics catalog for easy access to venom proteomics data,Carol O'Brien,Billy Broderick,"Snake venoms are incredibly complex mixtures of many different proteins called toxins. Understanding which particular toxins are in the venoms of each snake is important information for researchers working with snakes, particularly for those developing new anti-venoms against snakebite.  There have been many previous studies which have identified which toxins are in which snakes. This is incredibly valuable information for researchers, but the data is trapped in tables, scattered across many different scientific papers. These papers are themselves often trapped behind journal pay-walls.  In this project, I propose to; firstly, create a database of snake venom proteomics studies and secondly, create an online platform which will allow easy access to, and visualisation of, the proteins that have been identified in each snake venom. I hope to create a tool which will be useful to anyone interested in understanding snake venoms.",7,"Online Platform, Open Research, Snakebite, Venom, Proteomics, Neglected Tropical Disease",,
203,Biodegradability of Drilling Fluids in different soil types,Chukwuka Ogbonna,Stephane Fadanka,"Drilling fluid is a lubricant used in drilling oil and gas wells and in exploration rigs. It may vary with additives aimed at optimizing and improving the drilling process(Sadiq et al., 2003). They are mixture of natural and synthetic chemical compounds applied to cool and lubricate the drill bit; clean the borehole bottom; drive cuttings to the surface, control formation pressure and improve the function of the drill string and tools in the borehole (API, 1992).   The decline of the environment is presently a common and overwhelming challenge globally (Gazali et al., 2017). Studies have shown that uncontrolled disposal of drilling fluid wastes, with accompanying toxic components contribute heavily to the diminishing biodiversity (Vincent-Akpu, 2015; Vincent-Akpu and Sikoki, 2013; Sil et al., 2012). Most drilling firms especially on-shore, prefer to use land spraying (or throwing) as a method of disposing the waste drilling muds. Such unsustainable methods could lead to some hostile environmental impacts (Gazali et al., 2017). Yet, if biodegradation is relied on as a natural and cost-effective option for pollutant breakdown and pollution control (Nrior et al., 2017).  The aim of this study is to investigate the biodegradability of drilling fluid in the different soil types. This study, in addition to specifying the ecotoxicological effect of the drilling fluid pollutants in the soil, will chiefly show which soil type most efficiently promotes the drilling waste biodegradability and by implication provide reliable data for policy makers as regards to environmental reclamation",7,"Biodegradability, Drilling Fluid, Soil, Petroleum Hydrocarbons",,
204,"Building an open, structured, knowledge listing system",Mike Trizna,Pauline Karega,"The project I have in mind for this program has 2 major components.   The first component is to build a resource listing system, likely based on Quarto (https://quarto.org/docs/websites/website-listings-custom.html), that will take data from YAML files, and convert to a listing on a static web page that allows for filter and sorting. The we-are-ols.org website actually does an incredible job of displaying structured lists that come from YAML, but uses Jekyll to do this.   I also intend to build out a system in GitHub actions that will accept and validate new entries that come through a form or GitHub Issues. The second component would be to create training program that teaches how to use the system -- while also teaching the concepts of version control, metadata schemas, and continuous integration to complete novices.",7,"Knowledge Management, Data Hubs, Awesome Lists, Quarto, Version Control, Schema Validation",,
205,LA-CoNGA Physics Citizen Science Project,Alexander Martinez Mendez,Melissa Black,"The LA-CoNGA Physics  Citizen Science project is a collaborative experience that aims to  educate young people about climate change from an open science and data  science framework. The project aims to expose secondary school students 
in Colombia, Ecuador, Peru and Venezuela to data science research  environments and tools at an early age. Through the creation of research workshops and the data generated in a network of weather stations,  students will be guided in understanding open science concepts, climate  change, statistics and programming. Ultimately, it is hoped that by 
carrying out a project, the students will be able to take action to  address the effects of climate change in their communities.",7,"Citizen Science, Climate Change, Research Seedbed, Programming",,
206,Facilitating easier academic selection of research students using ML,Sivasubramanian Murugappan,Harini Lakshminarayanan,Our project is to build a machine learning-based tool to match the research students with the most suitable supervisor for them and vice versa by receiving their requirements and expectations. Our ML model uses the responses received from users and classifies them on a high-to-low suitability scale.,7,"Research, Students, Supervisor, Machine Learning",,
207,Bioinformatics University Outreach,"Emmanuel Adamolekun, Seun Elijah Olufemi, Ayomide Akinlotan",Michael Landi,"Bioinformatics, an interdisciplinary field that combines computer science, statistics, and biology to analyze and interpret biological data. As the amount of biological data generated continues to grow rapidly, there is an increasing demand for professionals with expertise in bioinformatics. To help meet this demand, we propose a university outreach program focused on developing bioinformatics capacity among University students in Nigeria and this will create early interest in genomics data analysis among the students and equip them with the relevant skills set  and knowledge in Bioinformatics. Also, we will be creating awareness of Open science among the university students. We would be working alongside other sister organizations to achieve this goal.",7,"Bioinformatics, Open Science, Outreach",,
208,PyOrb 1.0 – Automated Analysis Tool for Orbital Interactions,"Tori Gijzen, Yuman Hordijk, Trevor Hamlin",Nadine Spychala,"Introducing PyOrb 1.0, a user-friendly, open-source software designed to streamline the analysis of orbital interactions within various fragments (e.g., atoms in a chemical bond or reactants in a chemical reaction). By harnessing density functional theory computations, this program automates the exploration of Kohn-Sham molecular orbitals (KS-MOs), offering invaluable insights into the fundamental driving forces behind the chemical bond formation and reactions. Our primary objective is to develop an intuitive tool that effortlessly generates and consolidates essential details, including orbital overlaps, energy gaps, orbital Gross Mulliken populations, and coefficients of fragment orbitals within the broader molecular orbitals. The PyOrb 1.0 program will address three major challenges associated with the analysis of MO bonding mechanisms: 1. It automatically identifies the dominant orbital interaction patterns. 2. It presents three different orbital interaction schemes corresponding to different stages of bond formation. 3. It constructs the orbital diagram including a final plot summarizing the key molecular orbitals. While we have already created an initial prototype, there are several enhancements required to enhance the usability of our tool. PyOrb 1.0 holds immense potential in simplifying the systematic analysis of atomic and molecular bonding mechanisms, allowing users to concentrate on advanced analysis tasks. We plan to make the PyOrb 1.0 source code openly accessible online, accompanied by an introductory tutorial, to facilitate easy retrieval and utilization.",8,"Software, Chemistry, Open-Source, Density Functional Calculations, Reaction Mechanism, Activation Strain Model, Bonding Mechanism",,VU Amsterdam
209,"Understanding Natural History Organizational Structures, Data Sharing, and Coordination through Biodiversity Informatics and Biocollections",Kit Lewers,"Nicky Nicolson, Laura Carter","An ethnographic study that will using participant observation, open interviews and collection of documents to extract information about networks and information ecosystems of research. Data collection will be in the form of field notes, interview notes and audio recordings and document analysis, respectively. The expected duration of the total study is four years, but this first phase is envisioned as a 4-month project.",8," Science Of Science, Hci, Human Computer Interaction, Information Overload, Collaboration, Networks, Complex Systems, Information Theory, Mutli-Agent Systems",,
210,Molerhealth,Onabajo Monsurat,Mallory Freeberg,"The Molerhealth project is an initiative aimed at transforming healthcare in Nigeria through the development of an open-source electronic health records (EHR) application. My goal is to address the critical issue of disease misdiagnosis by enabling better information sharing and collaboration between healthcare providers, leading to improved patient outcomes and a more efficient healthcare system. Molerhealth will provide individuals with a secure and user-friendly platform to access, update, and share their comprehensive health records, regardless of their location or healthcare provider. Through this comprehensive EHR system, patients will have seamless continuity of care, as their medical history, test results, medications,allergies and treatment plans will be readily available to healthcare professionals. By harnessing the power of technology, Molerhealth will significantly reduce the rate of misdiagnoses in Nigeria. Doctors will have access to a complete and up-to-date patient profile, enabling accurate diagnoses, appropriate treatment decisions, and timely referrals to specialists when necessary. Moreover, Molerhealth will facilitate better communication between healthcare providers by providing a platform for secure messaging and consultation, enabling the exchange of vital patient information. This collaboration will lead to more informed decision-making, increased efficiency, and ultimately, improved healthcare outcomes. Through its open-source nature, Molerhealth will encourage community participation, innovation, and customization, making it adaptable to the unique healthcare needs of different regions in Nigeria. It will serve as a catalyst for positive change, empowering individuals, and strengthening the healthcare ecosystem as a whole. Together, we will revolutionize healthcare in Nigeria with Molerhealth, ensuring accurate diagnoses, improved patient care, and a healthier future for all.",8,"Healthcare, Africa, Research, Opensource, Disease Misdiagnosis, Technology",,
211,Bioinformatics and Health Data Science Internship,Daniel Adediran,Pauline Karega,"My project focuses on creating a dynamic platform that serves as a bridge between bioinformatics, data science students and the pharmaceutical, healthcare and biotechnology industries. By embracing an open-source foundation, the platform would facilitate collaboration and encourage the execution of open-source projects within these industries. This initiative aims to foster a symbiotic relationship where students would enroll in internships and gain practical experience while contributing to the advancement of scientific research and development. Through the platform, bioinformatic and data science students can connect with industry professionals, forming interdisciplinary teams to tackle real-world challenges. By leveraging their specialized skills, these students can apply their knowledge to diverse projects, such as genomics analysis, drug discovery, personalized medicine, and data-driven healthcare solutions. Moreover, the open-source nature of the platform allows for transparency, accessibility, and reproducibility of projects. By participating in these collaborative endeavours, students gain hands-on experience, expand their professional network, and acquire industry-specific insights and simultaneously, the pharmaceutical, healthcare, and biotechnology sectors would benefit from fresh perspectives, innovative ideas and cost-effective solutions provided by the enthusiastic student community. The platform acts as a catalyst for knowledge exchange, empowering students and fostering a culture of open-source collaboration within these industries.",8,"Bioinformatics, Data Science, Open Source Projects, Capacity Building, Industries",,
212,An Open Handbook and MOOC on Computational Methods for African Media Researchers,"Alette Schoon, Henri-Count Evans",Sara El-Gebali,"This project will revolve around the production of two resources: an open access handbook and a MOOC on computational methods for African Media researchers. These will share various digital, computational and data research methods to study the media in African contexts (including social media) in an easy and accessable manner. We would like to provide some typical African data examples that users will be able to download to follow along. The resources will be based on the winter school Alette has recently convened that was geared specifically for digital media researchers based in Africa.Here we worked with international media researchers from the UK and the Netherlands who shared some of their approaches. They agreed that we could repurpose these into shared open resources as long as their contribution is acknowledged.",8,"Educational Resource Production,Media Studies, Social Media Studies, Research Methods, Big Data, Digital Inequality, African Academic Resources, Scraping, Natural Language Processing, Network Analysis, Data Visualisation, Machine Learning",,Africa-OLS
213,dr,Konrad Kording,Fotis Psomopoulos,"Inspired by Neuromatch and the many other open educational projects, we will produce high quality notebooks to intuitively teach scientific rigor. These notebooks will combine videos, interactives, text and equations into engaging teaching materials. Results will be jupyter notebooks, jupyter books, and good old fashioned webpages. Community for rigor will build an education team, a tech team, and a community team. All materials will be shared CC-BY. We hope to collaborate with a wider open community in optimizing the materials for a broad range of scientists. If we can lower the incidence of non-rigorous science even just by a few percentage points we would majorly improve biomedical research.",8,"Scientific Rigor, Reproducibility, Neuroscience",,
214,Digitalization for sustainable Agricultural practices and climate change mitigation,"Nwakaego Gloria Ashiegbu, Olufemi Adesope, Joseph Chimere Onwumere, Dozie Onunkwo","Umar Farouk Ahmad, Irene Ramos","In order to mitigate climate change and ensure global food security, agriculture is essential. Traditional farming methods however causes environmental harm and increase greenhouse gas emissions. Agriculture has a tremendous amount of potential to be transformed into a sustainable and climate-resilient industry as a result of digitalization and cutting-edge technologies. This proposal describes a method for promoting sustainable agriculture and reducing climate change by using digitalization.",8,"Technology, Climate Change, Agricultural Methods, Sustainability, Mitigation",,
215,Wind Power System Stability Analysis for Grid Integration: A Statistical Mechanics Approach to the Swing Equation.,Nanje Patrick Itarngoh,Umar Farouk Ahmad,"Stabilizing wind power output for grid integration is a challenge due to variable-speed turbines, causing fluctuating power generation. To prevent voltage overloading, the grid power system must undergo rapid changes to maintain stability. The Swing equation is widely used for stability analysis, but its classical model may lead to erroneous conclusions. A modified Swing equation with forced oscillation and nonlinear damping is proposed, using the Lagrangian of the system derived from the maximum entropy principle. Statistical Mechanics preserves the Swing equation for power systems subjected to forced oscillations. The modified Swing equation is numerically integrated for various external load conditions, including constant, step, periodic, and stochastic loads. The steady state and transient stability of the system are determined by the load nature, magnitude, and damping.",8,"Wind Power, Fluctuation, Stability Analysis, Swing Equation, Statistical Mechanics, Grid Integration",,
216,Is my research used in clinical trials? - Tool(s) to assess societal impact using open scholarly data,"Maximillian Paulus, Ruben Lacroix, Matthijs de Zwaan",Andres Sebastian Ayala Ruano,"In the past, researchers have relied on commercial databases for scholarly information such as citations. With the acceleration of open science, open scholarly databases have emerged providing access to everyone for free. However, where commercial providers add a layer of abstraction in the form of aggregations and scientometrics, users of open scholarly data are confronted with raw data that can be difficult to work with. As research intelligence, this is where we step in, aiming to turn raw data into useful information. While making custom reports and dashboards is time-consuming and incurs a cost, we are exploring ways to provide a basic set of open-source tools that can be used by everyone, without charge. Our proposal is a tool that allows researchers to check whether their (fundamental) research is being cited by clinical trials. While traditionally only the number of citations has been used to establish impact of a publication, we aim to provide a more inclusive measure of societal impact by investigating the citation network. We will also explore ways to disseminate impact e.g. through visualisations. This implementation will pave the way for a series of similar tools that promote the recognition of research on various levels.",8,"Open Scholarly Data, Clinical Research, Citations, Societal Impact, Scientometrics",,VU Amsterdam
217,Assessing the Zinc Finger Protein Mutation and Expression Profile in Kenyan Women with Breast Cancer,Michael Kitoi,Stephane Fadanka,"The most recent evidence (2021) shows that breast cancer is the second leading cause of death in Kenyan women, after cervical cancer. Zinc Finger Proteins (ZNFs) have been shown to play a role in the progression of various types of cancers, including breast cancer. However, the impact of various types of mutations on breast cancer progression and prognosis have not been established in the Kenyan population. Lack of comprehensive knowledge on specific mutations within ZNFs 703,750 and 213 in breast cancer among Kenyan women population has hindered the development of diagnostic and therapeutic strategies for this population.",8,"Znf Proteins, Breast Cancer, Mutation, Gene Expression",,Africa-OLS
218,openTECR - an open database on thermodynamics of enzyme-catalyzed reactions,"Robert Giessmann, Teddy Groves",Nicolás Palopoli,"I aim to create a reliable, free, machine-actionable data collection of apparent equilibrium constants of enzyme-catalyzed reactions, with a clear change process to integrate new data and correct errors. There exists a data collection of other people in the field, but it is a free-floating csv file, and there are actually different versions of it used by different software packages. I want to unify those. This also includes cross-referencing / integrating other databases to exploit division of labor. Further, I want the project to provide a blueprint on how to set-up databases with no cost for infrastructure / developer capacity, given a specific set of technological skills. Currently I see three big problems: 1) create a FAIR representation of the data, 2) enable the community curation technologically, 3) motivate the community to invest work in the database. In the OLS Open Seeds program, I want to focus on problems 2) and 3).",8,"Enzymes, Thermodynamics, Open Source, Community",,
219,The Open Umbrella & Hybrid Learning Field Guide,Derek Moore,Harini Lakshminarayanan,"The umbrella offers a teacher or lecturers who used educational technology, 8 entry points for improving their remote, on campus or in a hybrid courses. The field guide fleshes out these entry points with manageable examples and projects.",8,"Open Education Resources, Open Education Practices, Quality Improvement, Professional Learning",,Africa-OLS
220,Bioinformatics codeathon,"Pauline Wambui Gachanja, Diana Karan","Laurah Ondari, Pradeep Eranti","This project involves a Bioinformatics codeathon. The purpose is to empower upcoming researchers interested in bioinformatics either as a career or to use bioinformatics tools in their research work. This project aims to provide a platform for bioinformatics enthusiasts to learn, network and appreciate bioinformatics. The codeathon will include two phases, beginning with participants pitching projects using publicly available data. Then followed by application of participants to the successfully selected projects. The project is estimated to run for 16 weeks. The first 4 weeks will be designed to train the participants in basics of bioinformatics, manuscript writing and how to make excellent presentations. During the codeathon, the participants will be expected to divide the roles among themselves and collaboratively work until completion of the project, The participants will present on the progress of their work twice a week. After the 16 weeks, the teams will present their work, the best teams awarded and successful projects published.",8,"Codeathon, Bionformatics, Open Data, Collaboration",,Africa-OLS
221,Making corporate social responsibility data available and accessible for other researchers,Marlou Ramaekers,"Diana Pilvar, Gladys Rotich","Since 1995, the Center for Philanthropic Studies at VU Amsterdam has conducted a biennial survey measuring corporate social responsibility in the Netherlands. The survey includes questions on corporate philanthropy in the form of giving money, goods and services to charitable causes, sponsorships of organizations, corporate volunteering, and corporate social responsibility behavior, among other topics. The thirteen waves of data have been collected for the Giving in the Netherlands (“Geven in Nederland”) series, which reports macro-economic estimates of the size, composition and trends in philanthropy. The data are rich and unique; they contain extensive information about corporate giving, volunteering and social responsibility as well as background information for large samples of the for-profit landscape in the Netherlands (total n ≈ 12,000). The data have not been documented for external use. As a result, the data have unused potential. The goal of the current project is to make the data publicly available in line with the FAIR principles in a repository that can be used for future editions of the survey.",8,"Fair, Data Sharing, Survey Data, Philanthropy, Corporate Social Responsibility, Business Administration, Economics, Organization Science",,VU Amsterdam
222,Gender Differences in the Impostor Phenomenon: A Preregistered and Open-Science Meta-Analysis,"Bo Wang, Jacek Buczny, Wendy Andrews, Hans Ket, Reinout de Vries","Umut Pajaro Velasquez, Nina Trubanová","The impostor phenomenon (IP) refers to self-doubts about one’s abilities and difficulty internalizing individual accomplishments. These individuals attribute their success to external (e.g., oversight or luck), instead of internal (e.g., intelligence or competence) factors. Therefore, they are worried that they will be found out as intellectual frauds or “impostors”. This phenomenon was first described by Clance and Imes in 1978 and received great attention over the last decades. Although initial researchers suggested that especially women suffer from the impostor phenomenon, more recent empirical evidence regarding gender differences is mixed. The aim of the current meta-analysis is to examine whether or not there are gender differences in the impostor phenomenon to examine where these potential gender differences come from moderation and mediation analysis. When conducting the meta-analysis, we want to follow the Preferred Reporting Items for Systematic reviews and Meta-Analysis for Protocols (PRISMA-P; Moher et al., 2015) and use the PRISMA-P templates developed by Moreau and Gamble (2022). We will preregister our study by uploading these templates (e.g., hypotheses, article searching strategies, screening criteria, codebook) and share all study materials and data via the Open Science Framework. We will also keep a logbook to track all details of our project.",8,"Gender, Impostor Feelings, Impostor Phenomenon, Impostor Syndrome, Mental Health, Meta-Analysis",,VU Amsterdam
223,Creating an online repository for open collaboration in psychology.,"Vasiliki Kentrou, Antonis Koutsoumpis, Bo Wang","Irene Vazano, Jesica Formoso, Patricia Loto","This project aims to develop an online repository to facilitate open collaboration in the field of psychology. The objective is to enable researchers from various locations to share their anonymized data on a centralized platform. The shared datasets will be made accessible to other researchers for further analysis. To accomplish this, the development of machine-readable codebooks is crucial. These codebooks - part of the present project - will enable the automated reading and merging of individual researchers' datasets, resulting in the creation of a comprehensive Giga database in psychology research.",8,"Database, Open Repository, Online Study, Surveys",,VU Amsterdam
224,JICMar Network: towards better opportunities and greater collaboration among young marine science researchers in Latin America,"Romina Trinchin, Nicolás Lois, Virginia Andrea García Alonso, Milagro Urricariet, Daniela Risaro, Loreley Lago","Jose Luis Villca Villegas, Alexander Martinez Mendez","The JICMar network (acronym for Young Investigators in Marine Sciences-Latin America) seeks to generate a space for the exchange of ideas and experiences that will serve as input to face the next steps in our professional careers. The virtue of the JICMar network lies in the collaboration to promote inclusion, gender diversity and equal opportunities for anyone studying or working on marine issues. The main activities of JICMar are related to generating a database of researchers, groups and institutes from different countries; socialising academic work with cutting-edge methodologies; centralising and sharing strategies for finding job opportunities and funding, as well as generating a job bank. The communication strategy of the JICMar includes the creation of a mailing list, social networks and a website to disseminate and carry out the various activities.",8,"Young Researchers, Marine Sciences, Latin America, Community, Accessibility, Equality",,
